LP_Folder,LP_Catalog,LP_Title,Side,Track_No,Track_Title,Track_Year,Match_Status,Disc_Date,Disc_Title,Disc_AltTitle,Singer,Master,Matrix,Note
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,A,6,El Alacrán,1965,matched,1965-08-27,El Alacrán,,Instrumental,Tape-S,5322,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,1,Sentimiento Gaucho,1965,matched,1965-08-11,Sentimiento Gaucho,,Osvaldo Ramos,Tape-S,5270,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,2,El Triunfo,1965,matched,1965-08-12,El Triunfo,,Instrumental,Tape-S,5276,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,3,Se Acabaron Los Otarios,1965,matched,1965-08-27,Se Acabaron los Otarios,,Armando Laborde,Tape-S,5324,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,4,El Pollito,1965,matched,1965-08-11,El Pollito,,Instrumental,Tape-S,5271,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,5,El Chamuyo,1965,matched,1965-08-11,El Chamuyo,,Instrumental,Tape-S,5272,
DArienzo Interpreta a Canaro,AVL-3603,Juan D'Arienzo Interpreta a Canaro,B,6,Charamusca,1965,matched,1965-08-11,Charamusca,,Instrumental,Tape-S,5273,
DArienzo Interpreta a Lomuto,AVS-4308,D'Arienzo Interpreta a Francisco Lomuto,A,1,Mala Suerte,1974,matched,1974-12-11,Mala Suerte,,Alberto Echagüe,Tape-S,16791,
DArienzo Interpreta a Lomuto,AVS-4308,D'Arienzo Interpreta a Francisco Lomuto,A,2,Sombras Nada Más,1974,matched,1974-12-11,Sombras Nada Más,,Osvaldo Ramos,Tape-S,16790,
DArienzo Interpreta a Lomuto,AVS-4308,D'Arienzo Interpreta a Francisco Lomuto,A,3,Churrasca,1974,matched,1974-12-11,Churrasca,,Armando Laborde,Tape-S,16792,
